"","pais_region","codigo_pais_region","anyo","empleadoras_mujeres","empleadores_hombres","empleo_agricultura_mujeres","empleo_agricultura_hombres","empleo_industria_mujeres","empleo_industria_hombres","empleo_servicios_mujeres","empleo_servicios_hombres","empleo_informal_mujeres","empleo_informal_hombres","legislacion_acoso_sexual","autoempleo_mujeres","autoempleo_hombres","empleo_parcial_mujeres","desempleo_educacion_mujeres","desempleo_educacion_hombres","desempleo_mujeres","desempleo_hombres","trabajo_domestico_no_remunerado_mujeres","trabajo_domestico_no_remunerado_hombres"
"100","Brasil","BRA","1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Brasil","BRA","1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Brasil","BRA","1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Brasil","BRA","1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Brasil","BRA","1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Brasil","BRA","1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89999997615814,1.92999994754791,NA,NA
"106","Brasil","BRA","1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75999999046326,2.11999988555908,NA,NA
"107","Brasil","BRA","1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79999995231628,2.15000009536743,NA,NA
"108","Brasil","BRA","1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75999999046326,2.75,NA,NA
"109","Brasil","BRA","1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Brasil","BRA","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15999984741211,3.90000009536743,NA,NA
"111","Brasil","BRA","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.09000015258789,4.69999980926514,NA,NA
"112","Brasil","BRA","1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63000011444092,4.61999988555908,NA,NA
"113","Brasil","BRA","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.40000009536743,3.90000009536743,NA,NA
